Process\Thread,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
1,0m54.242s,0m44.305s,0m34.874s,0m30.015s,0m25.481s,0m20.600s,0m21.151s,0m19.552s,0m15.409s,0m14.587s,0m16.518s,0m12.884s,0m15.269s,0m12.405s,0m14.255s,0m15.345s,0m11.134s,0m13.542s,0m10.426s,0m10.101s,
2,0m30.655s,0m26.910s,0m18.851s,0m18.957s,0m14.022s,0m15.632s,0m11.681s,0m10.848s,0m12.822s,0m9.541s,0m9.042s,0m11.592s,0m8.625s,0m8.756s,0m7.878s,0m10.586s,0m7.325s,0m7.186s,0m6.904s,0m6.872s,
3,0m24.042s,0m20.659s,0m15.377s,0m16.038s,0m11.916s,0m10.876s,0m12.201s,0m9.311s,0m9.390s,0m8.344s,0m7.886s,0m6.947s,0m6.664s,0m6.466s,0m6.773s,0m6.480s,0m6.632s,0m6.891s,0m6.650s,0m9.675s,
4,0m17.848s,0m16.500s,0m12.886s,0m10.650s,0m12.524s,0m8.645s,0m7.860s,0m7.301s,0m9.357s,0m6.612s,0m6.405s,0m6.310s,0m6.119s,0m9.153s,0m6.334s,0m6.579s,0m6.744s,0m6.622s,0m8.768s,0m5.987s,
5,0m14.153s,0m15.640s,0m10.887s,0m9.317s,0m8.243s,0m10.147s,0m6.828s,0m6.392s,0m6.664s,0m6.480s,0m9.523s,0m6.377s,0m6.419s,0m6.524s,0m6.500s,0m9.288s,0m6.635s,0m6.474s,0m6.198s,0m6.113s,
6,0m16.223s,0m11.459s,0m12.337s,0m8.199s,0m7.424s,0m6.942s,0m6.514s,0m9.288s,0m6.110s,0m6.032s,0m5.971s,0m6.142s,0m8.955s,0m6.469s,0m6.202s,0m5.974s,0m6.130s,0m9.092s,0m6.116s,0m6.094s,
7,0m11.821s,0m13.755s,0m8.593s,0m7.494s,0m6.827s,0m6.335s,0m9.309s,0m6.194s,0m5.991s,0m5.998s,0m5.863s,0m8.936s,0m5.905s,0m5.996s,0m6.121s,0m5.991s,0m8.843s,0m5.995s,0m5.884s,0m6.084s,
8,0m11.036s,0m12.819s,0m7.857s,0m6.849s,0m6.505s,0m9.205s,0m6.239s,0m6.160s,0m6.168s,0m6.140s,0m9.046s,0m6.061s,0m5.891s,0m5.794s,0m5.960s,0m5.912s,0m9.003s,0m6.217s,0m6.070s,0m6.118s,
9,0m13.505s,0m9.302s,0m7.973s,0m6.639s,0m8.530s,0m6.038s,0m6.029s,0m6.094s,0m6.040s,0m6.224s,0m9.576s,0m6.719s,0m6.203s,0m6.143s,0m5.894s,0m7.551s,0m5.835s,0m5.932s,0m5.809s,0m6.013s,
10,0m12.748s,0m9.251s,0m7.124s,0m6.414s,0m8.538s,0m6.221s,0m6.028s,0m6.158s,0m5.996s,0m8.969s,0m6.435s,0m6.022s,0m5.913s,0m5.968s,0m6.020s,0m8.747s,0m6.259s,0m6.748s,0m6.110s,0m6.077s,
11,0m11.885s,0m8.169s,0m6.728s,0m6.261s,0m8.876s,0m6.223s,0m6.063s,0m6.005s,0m6.080s,0m6.036s,0m8.996s,0m6.205s,0m5.929s,0m6.036s,0m6.000s,0m8.744s,0m6.208s,0m6.349s,0m5.966s,0m6.086s,
12,0m11.514s,0m7.719s,0m6.665s,0m6.749s,0m6.523s,0m9.235s,0m6.149s,0m6.229s,0m6.201s,0m6.012s,0m9.248s,0m6.064s,0m6.064s,0m5.962s,0m6.012s,0m8.805s,0m6.434s,0m6.112s,0m6.026s,0m5.943s,
13,0m11.259s,0m7.439s,0m6.557s,0m6.383s,0m6.067s,0m8.874s,0m6.342s,0m6.046s,0m6.415s,0m6.118s,0m8.955s,0m6.289s,0m6.253s,0m6.244s,0m6.069s,0m9.013s,0m6.282s,0m6.377s,0m6.167s,0m6.083s,
14,0m10.742s,0m7.172s,0m6.707s,0m6.256s,0m6.135s,0m9.227s,0m6.230s,0m6.107s,0m5.942s,0m5.880s,0m8.794s,0m6.069s,0m5.907s,0m5.870s,0m6.052s,0m6.046s,0m8.869s,0m6.022s,0m5.916s,0m5.996s,
15,0m7.523s,0m9.741s,0m6.324s,0m6.591s,0m6.515s,0m6.364s,0m8.921s,0m6.199s,0m6.151s,0m6.021s,0m6.015s,0m8.707s,0m5.938s,0m6.063s,0m6.132s,0m6.097s,0m9.354s,0m6.305s,0m5.924s,0m6.090s,
16,0m7.249s,0m9.199s,0m6.269s,0m6.461s,0m6.707s,0m6.034s,0m6.159s,0m8.965s,0m6.473s,0m6.468s,0m6.683s,0m9.562s,0m6.345s,0m5.955s,0m5.947s,0m6.018s,0m5.990s,0m9.251s,0m5.941s,0m6.124s,
17,0m6.774s,0m6.333s,0m9.115s,0m6.193s,0m6.041s,0m6.079s,0m6.478s,0m9.172s,0m6.800s,0m6.192s,0m6.044s,0m6.029s,0m8.860s,0m5.999s,0m6.198s,0m5.922s,0m6.183s,0m6.077s,0m8.861s,0m5.918s,
18,0m6.403s,0m6.587s,0m6.248s,0m9.087s,0m6.129s,0m6.128s,0m6.065s,0m5.993s,0m8.868s,0m6.046s,0m6.005s,0m5.951s,0m6.017s,0m8.898s,0m5.912s,0m6.116s,0m6.100s,0m6.034s,0m5.931s,0m8.962s,
19,0m6.486s,0m6.308s,0m6.102s,0m6.181s,0m9.250s,0m6.190s,0m6.097s,0m6.054s,0m5.925s,0m8.576s,0m5.929s,0m6.233s,0m6.402s,0m6.521s,0m9.206s,0m6.051s,0m6.012s,0m6.025s,0m5.975s,0m5.990s,
20,0m9.096s,0m6.347s,0m6.267s,0m6.168s,0m6.042s,0m8.984s,0m6.129s,0m5.947s,0m6.096s,0m6.103s,0m8.647s,0m6.071s,0m5.955s,0m5.875s,0m6.122s,0m6.378s,0m9.117s,0m5.999s,0m6.070s,0m5.979s,
